array('d', [-86.6841796875, 0.466796875, 59.75, -0.0])
array('d', [-87.7578125, 0.09335937500000001, 59.7966796875, -0.42011718750000004])
array('d', [-87.7578125, 0.09335937500000001, 60.8236328125, 0.466796875])
array('d', [-87.7578125, 0.09335937500000001, 60.8236328125, 0.466796875])
array('d', [-87.7578125, 0.09335937500000001, 60.8236328125, 0.466796875])
array('d', [-87.7578125, 0.09335937500000001, 60.8236328125, 0.466796875])
array('d', [-87.7578125, 0.09335937500000001, 60.8236328125, 0.466796875])
array('d', [-86.1240234375, -0.2333984375, 59.4232421875, 0.2333984375])
array('d', [-86.1240234375, -0.2333984375, 59.4232421875, -0.18671875000000002])
array('d', [-86.1240234375, 0.09335937500000001, 59.75, -0.18671875000000002])
array('d', [-86.1240234375, 0.09335937500000001, 59.75, -0.18671875000000002])
array('d', [-86.1240234375, 0.09335937500000001, 59.75, -0.18671875000000002])
array('d', [-86.1240234375, 0.09335937500000001, 59.75, -0.18671875000000002])
array('d', [-86.1240234375, 0.09335937500000001, 59.75, -0.18671875000000002])
array('d', [-86.1240234375, 0.09335937500000001, 59.75, -0.18671875000000002])
array('d', [-86.4041015625, 0.1400390625, 59.003125000000004, 0.046679687500000004])
array('d', [-87.24433593750001, -0.280078125, 60.030078125, 0.2333984375])
array('d', [-86.2173828125, -0.2333984375, 58.6296875, 0.2333984375])
array('d', [-86.2173828125, -0.2333984375, 58.6296875, 0.2333984375])
array('d', [-86.2173828125, -0.2333984375, 58.6296875, 0.2333984375])
array('d', [-86.170703125, -0.2333984375, 59.0498046875, -0.18671875000000002])
array('d', [-86.31074218750001, 0.42011718750000004, 58.9564453125, 0.046679687500000004])
array('d', [-86.31074218750001, 0.42011718750000004, 60.4501953125, 0.2333984375])
array('d', [-85.983984375, 0.7935546875, 60.4501953125, 0.2333984375])
array('d', [-86.170703125, -0.18671875000000002, 60.403515625000004, -0.18671875000000002])
array('d', [-85.890625, 0.37343750000000003, 59.75, 0.466796875])
array('d', [-85.890625, 0.37343750000000003, 59.75, 0.466796875])
array('d', [-85.890625, 0.37343750000000003, 59.75, 0.466796875])
array('d', [-85.890625, 0.37343750000000003, 59.75, 0.466796875])
array('d', [-86.1240234375, 0.09335937500000001, 60.496875, 0.1400390625])
array('d', [-85.56386718750001, -0.2333984375, 60.1234375, -0.1400390625])
array('d', [-85.56386718750001, -0.2333984375, 60.8236328125, -0.42011718750000004])
array('d', [-85.9373046875, 0.1400390625, 60.8236328125, -0.42011718750000004])
array('d', [-86.1240234375, 0.0, 59.75, -0.09335937500000001])
array('d', [-87.01093750000001, 0.37343750000000003, 57.9294921875, -0.1400390625])
array('d', [-86.1240234375, 0.1400390625, 59.003125000000004, -0.046679687500000004])
